PassengerId,Survived,Pclass,Sex,Age,Cabin,Hometown,Destination
294,0.0,3,female,24.0,C23 C25 C27,"Altdorf, Uri, Switzerland","Chicago, Illinois, US"
295,0.0,3,male,24.0,C23 C25 C27,"Unknown, Bulgaria","Coon Rapids, Iowa, US"
296,0.0,1,male,28.0,C23 C25 C27,"Chicago, Illinois, US","Chicago, Illinois, US"
297,0.0,3,male,23.5,C23 C25 C27,"Kfar Mechi, Syria","Ottawa, Ontario, Canada"
298,0.0,1,female,2.0,C22 C26,"Montreal, Quebec, Canada","Montreal, Quebec, Canada"
299,1.0,1,male,28.0,C106,"Manchester, England, UK","New York, New York, US"
300,1.0,1,female,50.0,B58 B60,"Montreal, Quebec, Canada","Montreal, Quebec, Canada"
301,1.0,3,female,28.0,C23 C25 C27,"Cuilmullagh, Mayo, Ireland","Chicago, Illinois, US"
302,1.0,3,male,28.0,C23 C25 C27,"Carrickatane, Tyrone, Ireland","Brooklyn, New York, US"
303,0.0,3,male,19.0,C23 C25 C27,"Hawthorne, New Jersey, US",New York City
304,1.0,2,female,28.0,E101,"Castleconnell, Limerick, Ireland[note 1]","Harrisburg, Pennsylvania, US"
305,0.0,3,male,28.0,C23 C25 C27,"Guernsey, Channel Islands, Channel Islands",New York City
306,1.0,1,male,0.92,C22 C26,"Montreal, Quebec, Canada","Montreal, Quebec, Canada"
307,1.0,1,female,28.0,C23 C25 C27,"Haverford, Pennsylvania, US","Haverford, Pennsylvania, US"
308,1.0,1,female,17.0,C65,"Madrid, Spain","New York, New York, US"
309,0.0,2,male,30.0,C23 C25 C27,Russia,"New York, New York, US"
310,1.0,1,female,30.0,E36,"London, England, UK","New York, New York, US"
311,1.0,1,female,24.0,C54,"New York, New York, US","New York, New York, US"
312,1.0,1,female,18.0,B57 B59 B63 B66,"Cooperstown, New York, US","Cooperstown, New York, US"
313,0.0,2,female,26.0,C23 C25 C27,"Minneapolis, Minnesota, US","Minneapolis, Minnesota, US"
314,0.0,3,male,28.0,C23 C25 C27,"Vagovina, Croatia","Harrisburg, Pennsylvania, US"
315,0.0,2,male,43.0,C23 C25 C27,"Ilford, Essex, England","Winnipeg, Manitoba, Canada"
316,1.0,3,female,26.0,C23 C25 C27,"Ramkvilla, Småland, Sweden","Joliet, Illinois, US"
317,1.0,2,female,24.0,C23 C25 C27,"Vitebsk, Russian Empire","Bronx, New York, US"
318,0.0,2,male,54.0,C23 C25 C27,"Frankfort, Kentucky, US","Frankfort, Kentucky, US"
319,1.0,1,female,31.0,C7,"Youngstown, Ohio, US","Youngstown, Ohio, US"
320,1.0,1,female,40.0,E34,"Tuxedo Park, New York, US","Tuxedo Park, New York, US"
321,0.0,3,male,22.0,C23 C25 C27,"Week St Mary, Cornwall, England","Saskatoon, Saskatchewan, Canada"
322,0.0,3,male,27.0,C23 C25 C27,"Unknown, Bulgaria","Chicago, Illinois, US"
323,1.0,2,female,30.0,C23 C25 C27,"Halifax, Nova Scotia, Canada","Vancouver, British Columbia, Canada"
324,1.0,2,female,22.0,C23 C25 C27,"Bangkok, Siam","Roseville, Illinois, US"
325,0.0,3,male,28.0,C23 C25 C27,"Peterborough, Cambridgeshire, England","Jacksonville, Florida, US"
326,1.0,1,female,36.0,C32,"New York, New York, US","New York, New York, US"
327,0.0,3,male,61.0,C23 C25 C27,"Øyer, Norway","Grand Forks, North Dakota, US"
328,1.0,2,female,36.0,D,"Bristol, Avon, England","Jacksonville, Florida, US"
329,1.0,3,female,31.0,C23 C25 C27,"Strood, Kent, England","Detroit, Michigan, US"
330,1.0,1,female,16.0,B18,"Chicago, Illinois, US","Chicago, Illinois, US"
331,1.0,3,female,28.0,C23 C25 C27,"Carrickatane, Tyrone, Ireland","Brooklyn, New York, US"
332,0.0,1,male,45.5,C124,"Tolworth, London, England, UK","Toronto, Ontario, Canada"
333,0.0,1,male,38.0,C91,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba, Canada"
334,0.0,3,male,16.0,C23 C25 C27,"Zwevezele, Belgium","Fremont, Ohio, US"
335,1.0,1,female,28.0,C23 C25 C27,"London, England, UK","New York, New York, US"
336,0.0,3,male,28.0,C23 C25 C27,"Unknown, Bulgaria","Coon Rapids, Iowa, US"
337,0.0,1,male,29.0,C2,"Isleworth, London, England, UK","New York, New York, US"
338,1.0,1,female,41.0,E40,"Tuxedo Park, New York, US","Tuxedo Park, New York, US"
339,1.0,3,male,45.0,C23 C25 C27,"Adelaide, South Australia, Australia","Fingal, North Dakota, US"
340,0.0,1,male,45.0,T,"Trenton, New Jersey, US","Trenton, New Jersey, US"
341,1.0,2,male,2.0,F2,"Nice, France",New York City
342,1.0,1,female,24.0,C23 C25 C27,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba, Canada"
343,0.0,2,male,28.0,C23 C25 C27,"Helsinki, Finland, Russian Empire[note 6]","Ashtabula, Ohio, US"
344,0.0,2,male,25.0,C23 C25 C27,"Liverpool, Merseyside, England","Minatitlán, Veracruz, Mexico"
345,0.0,2,male,36.0,C23 C25 C27,"Rochester, New York, US","Rochester, New York, US"
346,1.0,2,female,24.0,F33,"London, England, UK","Montreal, Quebec, Canada"
347,1.0,2,female,40.0,C23 C25 C27,"Basingstoke, Hampshire, England","Washington, DC US"
348,1.0,3,female,28.0,C23 C25 C27,"Madrid, Spain",New York City
349,1.0,3,male,3.0,C23 C25 C27,"London, England","Brooklyn, New York, US"
350,0.0,3,male,42.0,C23 C25 C27,"Ostrovica, Croatia","Red Lodge, Montana, US"
351,0.0,3,male,23.0,C23 C25 C27,"Örsjö, Kalmar, Sweden","Peoria, Illinois, US"
352,0.0,1,male,28.0,C128,"London, England, UK","Newark, New Jersey, US"
353,0.0,3,male,15.0,C23 C25 C27,"Kafr Mishki, Lebanon","Ottawa, Ontario, Canada"
354,0.0,3,male,25.0,C23 C25 C27,"Altdorf, Uri, Switzerland","New Glarus, Wisconsin, US"
355,0.0,3,male,28.0,C23 C25 C27,"Tebnin, Lebanon",New York City
356,0.0,3,male,28.0,C23 C25 C27,"Haaltert, Belgium",New York City
357,1.0,1,female,22.0,E33,"St Leonards-on-Sea, East Sussex, England, UK","New York, New York, US"
358,0.0,2,female,38.0,C23 C25 C27,"Janjgir-Champa, British India, UK[note 3]","Bally, Pennsylvania, US"
359,1.0,3,female,28.0,C23 C25 C27,"Corlough, Cavan, Ireland",New York City
360,1.0,3,female,28.0,C23 C25 C27,"Currafarry, Galway, Ireland",New York City
361,0.0,3,male,40.0,C23 C25 C27,"Hällekis, Västergötland, Sweden","Iron Mountain, Michigan, US"
362,0.0,2,male,29.0,C23 C25 C27,"Montecarlo, Lucca, Tuscany, Italy","Chicago, Illinois, US"
363,0.0,3,female,45.0,C23 C25 C27,"Kafr Mishki, Lebanon","Ottawa, Ontario, Canada"
364,0.0,3,male,35.0,C23 C25 C27,"Buenos Aires, Argentina",New York City
365,0.0,3,male,28.0,C23 C25 C27,"Pallasgreen, Limerick, Ireland","Chicago, Illinois, US"
366,0.0,3,male,30.0,C23 C25 C27,"Asarum, Småland, Sweden","Brooklyn, New York, US"
367,1.0,1,female,60.0,D37,"Portland, Oregon, US","Portland, Oregon, US"
368,1.0,3,female,28.0,C23 C25 C27,"Hardîne, Lebanon","Wilkes-Barre, Pennsylvania, US"
369,1.0,3,female,28.0,C23 C25 C27,"Ballydehob, Cork, Ireland","East Lynn, Massachusetts, US"
370,1.0,1,female,24.0,B35,"Paris, France","New York, New York, US"
371,1.0,1,male,25.0,E50,"New York, New York, US","New York, New York, US"
372,0.0,3,male,18.0,C23 C25 C27,"Vaasa, Finland","Montreal, Quebec, Canada"
373,0.0,3,male,19.0,C23 C25 C27,"Fillingham, Lincolnshire, England","Russell, US"
374,0.0,1,male,22.0,C23 C25 C27,"New York, New York, US","New York, New York, US"
375,0.0,3,female,3.0,C23 C25 C27,"Bjuv, Skåne, Sweden","Chicago, Illinois, US"
376,1.0,1,female,28.0,C23 C25 C27,"New York, New York, US","New York, New York, US"
377,1.0,3,female,22.0,C23 C25 C27,"Karlshamn, Blekinge, Sweden",New York City
378,0.0,1,male,27.0,C82,"Philadelphia, Pennsylvania, US","Philadelphia, Pennsylvania, US"
379,0.0,3,male,20.0,C23 C25 C27,"Zgharta, Lebanon","Waterbury, Connecticut, US"
380,0.0,3,male,19.0,C23 C25 C27,"Myren, Synnerby, Västergötland, Sweden","Aberdeen, South Dakota, US"
381,1.0,1,female,42.0,C23 C25 C27,"New York, New York, US","New York, New York, US"
382,1.0,3,female,1.0,C23 C25 C27,"Zgharta, Lebanon","Waterbury, Connecticut, US"
383,0.0,3,male,32.0,C23 C25 C27,"Pielavesi, Finland",New York City
384,1.0,1,female,35.0,C23 C25 C27,"New York, New York, US","New York, New York, US"
385,0.0,3,male,28.0,C23 C25 C27,"Unknown, Bulgaria","Tulsa, Oklahoma, US"
386,0.0,2,male,18.0,C23 C25 C27,"Lyndhurst, Hampshire, England","Eden, Manitoba, Canada"
387,0.0,3,male,1.0,C23 C25 C27,"Fulham, England","Niagara Falls, New York, US"
388,1.0,2,female,36.0,C23 C25 C27,"Sittingbourne, Kent, England","San Francisco, US"
389,0.0,3,male,28.0,C23 C25 C27,"Mohill, Leitrim, Ireland","Lakewood Township, New Jersey, US"
390,1.0,2,female,17.0,C23 C25 C27,"Lotzwil, Switzerland","Central City, Iowa, US"
391,1.0,1,male,36.0,B96 B98,"Bryn Mawr, Pennsylvania, US","Bryn Mawr, Pennsylvania, US"
392,1.0,3,male,21.0,C23 C25 C27,"Örebro, Sweden","Swedeburg, Nebraska, US"
393,0.0,3,male,28.0,C23 C25 C27,"Ruotsinpyhtää, Finland",New York City
394,1.0,1,female,23.0,D36,"Lexington, Massachusetts, US","Lexington, Massachusetts, US"
395,1.0,3,female,24.0,G6,"Motala, Östergötland, Sweden","San Francisco, US"
396,0.0,3,male,22.0,C23 C25 C27,"Frostensmåla, Småland, Sweden","St. Paul, Minnesota, US"
397,0.0,3,female,31.0,C23 C25 C27,"Södra Brantevik, Sweden","St. Paul, Minnesota, US"
398,0.0,2,male,46.0,C23 C25 C27,"Guernsey, Channel Islands","Rochester, New York, US"
399,0.0,2,male,23.0,C23 C25 C27,"Hamilton, Ontario, Canada","Hamilton, Ontario, Canada"
400,1.0,2,female,28.0,C23 C25 C27,"Columbus, Ohio, US","Columbus, Ohio, US"
401,1.0,3,male,39.0,C23 C25 C27,"Kivijärvi, Finland","Boston, Massachusetts, US"
402,0.0,3,male,26.0,C23 C25 C27,"Bournemouth, Dorset, England","La Porte City, Iowa, US"
403,0.0,3,female,21.0,C23 C25 C27,"Paavola, Northern Ostrobothnia, Finland",New York City
404,0.0,3,male,28.0,C23 C25 C27,"Helsinki, Finland","Monessen, Pennsylvania, US"
405,0.0,3,female,20.0,C23 C25 C27,"Konjsko Brdo, Croatia","Chicago, Illinois, US"
406,0.0,2,male,34.0,C23 C25 C27,"Harrowbarrow, Cornwall, England","Clear Creek, Colorado, US"
407,0.0,3,male,51.0,C23 C25 C27,"Algutsrum, Kalmar, Sweden",New York City
408,1.0,2,male,3.0,C23 C25 C27,"Penzance, Cornwall, England","Akron, Ohio, US"
409,0.0,3,male,21.0,C23 C25 C27,"Bremnes, Norway",New York City
410,0.0,3,female,28.0,C23 C25 C27,"Liévin, Pas-de-Calais, France","Mystic, Iowa, US"
411,0.0,3,male,28.0,C23 C25 C27,"Unknown, Bulgaria","Chicago, Illinois, US"
412,0.0,3,male,28.0,C23 C25 C27,"Ballysadare, Sligo, Ireland","Boston, Massachusetts, US"
413,1.0,1,female,33.0,C78,"Fond du Lac, Wisconsin, US","Fond du Lac, Wisconsin, US"
414,0.0,2,male,28.0,C23 C25 C27,"Belfast, Ireland",New York City
415,1.0,3,male,44.0,C23 C25 C27,"Munsala, Finland","Cheyenne, Wyoming, US"
416,0.0,3,female,28.0,C23 C25 C27,"Penarth, Glamorgan, Wales",New York City
417,1.0,2,female,34.0,C23 C25 C27,"Greenport, New York, US","Greenport, New York, US"
418,1.0,2,female,18.0,C23 C25 C27,"Tornio, Finland, Russian Empire[note 6]","Minneapolis, Minnesota, US"
419,0.0,2,male,30.0,C23 C25 C27,"St Austell, Cornwall, England","La Salle, Illinois, US"
420,0.0,3,female,10.0,C23 C25 C27,"Kerksken, Belgium","Detroit, Michigan, US"
421,0.0,3,male,28.0,C23 C25 C27,"Unknown, Bulgaria","Butte, Montana, US"
422,0.0,3,male,21.0,C23 C25 C27,"Ballinalee, Longford, Ireland",New York City
423,0.0,3,male,29.0,C23 C25 C27,"Todtmoos, Germany","Saskatoon, Saskatchewan, Canada"
424,0.0,3,female,28.0,C23 C25 C27,"Göteborg, Västergötland, Sweden","Stanton, Iowa, US"
425,0.0,3,male,18.0,C23 C25 C27,"Suistamo, Finland","Astoria, Oregon, US"
426,0.0,3,male,28.0,C23 C25 C27,"London, England","Quebec City, Quebec, Canada"
427,1.0,2,female,28.0,C23 C25 C27,"Netley Abbey, Hampshire, England","San Francisco, California, US"
428,1.0,2,female,19.0,C23 C25 C27,"Birmingham, Worcester, England","Los Angeles, US"
429,0.0,3,male,28.0,C23 C25 C27,"Cuilkillew, Mayo, Ireland",New York City
430,1.0,3,male,32.0,E10,"Warsaw, Poland","San Francisco, US"
431,1.0,1,male,28.0,C52,"Stockholm, Sweden","Washington, DC, US"
432,1.0,3,female,28.0,C23 C25 C27,"Maidstone, Kent, England","Clinton, New York, US"
433,1.0,2,female,42.0,C23 C25 C27,"Weston-super-Mare, North Somerset, England",New York City
434,0.0,3,male,17.0,C23 C25 C27,"Kauhajoki, Finland","Sudbury, Ontario, Canada"
435,0.0,1,male,50.0,E44,"Duluth, Minnesota, US","Duluth, Minnesota, US"
436,1.0,1,female,14.0,B96 B98,"Bryn Mawr, Pennsylvania, US","Bryn Mawr, Pennsylvania, US"
437,0.0,3,female,21.0,C23 C25 C27,"Rotherfield, East Sussex, England","Essex County, New Jersey, US"
438,1.0,2,female,24.0,C23 C25 C27,"Penzance, Cornwall, England","Akron, Ohio, US"
439,0.0,1,male,64.0,C23 C25 C27,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba, Canada"
440,0.0,2,male,31.0,C23 C25 C27,"Trollhättan, Västergötland, Sweden","Arlington, Virginia, US"
441,1.0,2,female,45.0,C23 C25 C27,"Ilford, Essex, England","Winnipeg, Manitoba, Canada"
442,0.0,3,male,20.0,C23 C25 C27,"Westrozebeke, Belgium","Detroit, Michigan, US"
443,0.0,3,male,25.0,C23 C25 C27,"Västermo, Södermanland, Sweden","Chicago, Illinois, US"
444,1.0,2,female,28.0,C23 C25 C27,"Marbella, Spain",New York City
445,1.0,3,male,28.0,C23 C25 C27,"Avaldsnes, Stavanger, Norway",New York City
446,1.0,1,male,4.0,A34,"San Francisco, California, US","San Francisco, California, US"
447,1.0,2,female,13.0,C23 C25 C27,"Wimbledon, London, England","Bennington, Vermont, US"
448,1.0,1,male,34.0,C23 C25 C27,"New York, New York, US","New York, New York, US"
449,1.0,3,female,5.0,C23 C25 C27,"Ḑuhūr ash Shuwayr, Lebanon","Brooklyn, New York, US"
450,1.0,1,male,52.0,C104,"Toronto, Ontario, Canada","Toronto, Ontario, Canada"
451,0.0,2,male,36.0,C23 C25 C27,"Bournemouth, Dorset, England","Gainesville, Florida, US"
452,0.0,3,male,28.0,C23 C25 C27,"Skaare, Haugesund, Norway","Belmar, New Jersey, US"
453,0.0,1,male,30.0,C111,"New York, New York, US","New York, New York, US"
454,1.0,1,male,49.0,C92,"Paris, France","New York, New York, US"
455,0.0,3,male,28.0,C23 C25 C27,"London, England",New York City
456,1.0,3,male,29.0,C23 C25 C27,"Topolovac, Croatia","Galesburg, Illinois, US"
457,0.0,1,male,65.0,E38,"East Bridgewater, Massachusetts, US","East Bridgewater, Massachusetts, US"
458,1.0,1,female,28.0,D21,"Pittsburgh, Pennsylvania, US","Pittsburgh, Pennsylvania, US"
459,1.0,2,female,50.0,C23 C25 C27,"Indianapolis, Indiana, US","Indianapolis, Indiana, US"
460,0.0,3,male,28.0,C23 C25 C27,"Boherbue, Cork, Ireland",New York City
461,1.0,1,male,48.0,E12,"New York, New York, US","New York, New York, US"
462,0.0,3,male,34.0,C23 C25 C27,"Petworth, West Sussex, England",New York City
463,0.0,1,male,47.0,E63,"St Annes-on-Sea, Lancashire, England, UK","Mexico City, Mexico"
464,0.0,2,male,48.0,C23 C25 C27,"Odense, Denmark","Oregon, Wisconsin, US"
465,0.0,3,male,28.0,C23 C25 C27,"London, England",New York City
466,0.0,3,male,38.0,C23 C25 C27,"Calheta, Madeira, Portugal",New York City
467,0.0,2,male,28.0,C23 C25 C27,"Belfast, Ireland",New York City
468,0.0,1,male,56.0,C23 C25 C27,"Kildale, North Yorkshire, England, UK","New York, New York, US"
469,0.0,3,male,28.0,C23 C25 C27,"Rathkeale, Limerick, Ireland",New York City
470,1.0,3,female,0.75,C23 C25 C27,"Ḑuhūr ash Shuwayr, Lebanon","Brooklyn, New York, US"
471,0.0,3,male,28.0,C23 C25 C27,"Rahway, New Jersey, US","Rahway, New Jersey, US"
472,0.0,3,male,38.0,C23 C25 C27,"Široka Kula, Croatia","Chicago, Illinois, US"
473,1.0,2,female,33.0,C23 C25 C27,"Bournemouth, Dorset, England","Gainesville, Florida, US"
474,1.0,2,female,23.0,D,New York City,New York City
475,0.0,3,female,22.0,C23 C25 C27,"Turku, Finland",New York City
476,0.0,1,male,28.0,A14,"Stoughton, Massachusetts, US","Stoughton, Massachusetts"
477,0.0,2,male,34.0,C23 C25 C27,"Elizabeth, New Jersey, US","Elizabeth, New Jersey, US"
478,0.0,3,male,29.0,C23 C25 C27,"Bridgerule, Devon, England","Qu'Appelle Valley, Saskatchewan, Canada"
479,0.0,3,male,22.0,C23 C25 C27,"Örebro, Sweden","Palmer, Massachusetts, US"
480,1.0,3,female,2.0,C23 C25 C27,"Taalintehdas, Finland","Monessen, Pennsylvania, US"
481,0.0,3,male,9.0,C23 C25 C27,"Fulham, England","Niagara Falls, New York, US"
482,0.0,2,male,28.0,C23 C25 C27,"Belfast, Northern Ireland, UK",New York City
483,0.0,3,male,50.0,C23 C25 C27,"Sittingbourne, Kent, England","Cleveland, Ohio, US"
484,1.0,3,female,63.0,C23 C25 C27,"Jalasjärvi, Southern Ostrobothnia, Finland","Hibbing, Minnesota, US"
485,1.0,1,male,25.0,B49,"Dowagiac, Michigan, US","Dowagiac, Michigan, US"
486,0.0,3,female,28.0,C23 C25 C27,"Liévin, Pas-de-Calais, France","Mystic, Iowa, US"
487,1.0,1,female,35.0,C93,"New York, New York, US","Stamford, Connecticut, US"
488,0.0,1,male,58.0,B37,"Buffalo, New York, US","Buffalo, New York, US"
489,0.0,3,male,30.0,C23 C25 C27,"Greatfield, Cheltenham, England","Canastota, New York, US"
490,1.0,3,male,9.0,C23 C25 C27,"London, England","Brooklyn, New York, US"
491,0.0,3,male,28.0,C23 C25 C27,"Skaare, Haugesund, Norway","Belmar, New Jersey, US"
492,0.0,3,male,21.0,C23 C25 C27,"Cape Town, South Africa",New York City
493,0.0,1,male,55.0,C30,"Montreal, Quebec, Canada","Montreal, Quebec, Canada"
494,0.0,1,male,71.0,C23 C25 C27,"Buenos Aires, Argentina","New York, New York, US"
495,0.0,3,male,21.0,C23 C25 C27,"Swanage, England","Cleveland, Ohio, US"
496,0.0,3,male,28.0,C23 C25 C27,"Hardîne, Lebanon","Youngstown, Ohio, US"
497,1.0,1,female,54.0,D20,"Brookline, Massachusetts, US","Brookline, Massachusetts, US"
498,0.0,3,male,28.0,C23 C25 C27,"Bristol, Avon, England","Troy, New York, US"
499,0.0,1,female,25.0,C22 C26,"Montreal, Quebec, Canada","Montreal, Quebec, Canada"
500,0.0,3,male,24.0,C23 C25 C27,"Björkeberga, Skåne, Sweden",New York City
501,0.0,3,male,17.0,C23 C25 C27,"Brezik, Croatia","Sault Ste. Marie, Michigan, US"
502,0.0,3,female,21.0,C23 C25 C27,"Tonacrick, Clare, Ireland","Philadelphia, Pennsylvania, US"
503,0.0,3,female,28.0,C23 C25 C27,"Glenduff, Kerry, Ireland",New York City
504,0.0,3,female,37.0,C23 C25 C27,"Helsinki, Finland",New York City
505,1.0,1,female,16.0,B79,"Vancouver, British Columbia, Canada","Vancouver, British Columbia, Canada"
506,0.0,1,male,18.0,C65,"Madrid, Spain","New York, New York, US"
507,1.0,2,female,33.0,C23 C25 C27,"Plymouth, Devon, England","Detroit, Michigan, US"
508,1.0,1,male,28.0,C23 C25 C27,"Los Angeles, California, US","Los Angeles, California, US"
509,0.0,3,male,28.0,C23 C25 C27,"Bergen, Norway",New York City
510,1.0,3,male,26.0,C23 C25 C27,"Hong Kong, China",New York City
511,1.0,3,male,29.0,C23 C25 C27,"Athlone, Westmeath, Ireland",New York City
512,0.0,3,male,28.0,C23 C25 C27,"San Francisco, US","San Francisco, US"
513,1.0,1,male,36.0,E25,"Philadelphia, Pennsylvania, US","Philadelphia, Pennsylvania, US"
514,1.0,1,female,54.0,C23 C25 C27,"New York, New York, US","New York, New York, US"
515,0.0,3,male,24.0,C23 C25 C27,"Debnevo, Troyan, Bulgaria","Chicago, Illinois, US"
516,0.0,1,male,47.0,D46,"East Orange, New Jersey, US","East Orange, New Jersey, US"
517,1.0,2,female,34.0,F33,"Chicago, Illinois, US","Chicago, Illinois, US"
518,0.0,3,male,28.0,C23 C25 C27,"Askeaton, Limerick, Ireland","Bronx, New York, US"
519,1.0,2,female,36.0,C23 C25 C27,"Warwick, Warwickshire, England",New York City
520,0.0,3,male,32.0,C23 C25 C27,"Vagovina, Croatia","Harrisburg, Pennsylvania, US"
521,1.0,1,female,30.0,B73,"Montreal, Quebec, Canada","Montreal, Quebec, Canada"
522,0.0,3,male,22.0,C23 C25 C27,"Jesenice, Slovenia","St. Joseph, Minnesota, US"
523,0.0,3,male,28.0,C23 C25 C27,"Zgharta, Lebanon","Waterbury, Connecticut, US"
524,1.0,1,female,44.0,B18,"Chicago, Illinois, US","Chicago, Illinois, US"
525,0.0,3,male,28.0,C23 C25 C27,"Shana, Lebanon",New York City
526,0.0,3,male,40.5,C23 C25 C27,"Killoe, Longford, Ireland",New York City
527,1.0,2,female,50.0,C23 C25 C27,"London, England","Marietta, Ohio, US"
528,0.0,1,male,28.0,C95,"New York, New York, US","New York, New York, US"
529,0.0,3,male,39.0,C23 C25 C27,"Aberdeen, Washington, US","Aberdeen, Washington, US"
530,0.0,2,male,23.0,C23 C25 C27,"Akron, Ohio, US","Akron, Ohio, US"
531,1.0,2,female,2.0,C23 C25 C27,"Plymouth, Devon, England","Detroit, Michigan, US"
532,0.0,3,male,28.0,C23 C25 C27,"Hardîne, Lebanon",New York City
533,0.0,3,male,17.0,C23 C25 C27,"Kafr Mishki, Lebanon","Ottawa, Ontario, Canada"
534,1.0,3,female,28.0,C23 C25 C27,"Sar'al, Syria","Detroit, Michigan, US"
535,0.0,3,female,30.0,C23 C25 C27,"Široka Kula, Croatia","Chicago, Illinois, US"
536,1.0,2,female,7.0,C23 C25 C27,"Ilford, Essex, England","Winnipeg, Manitoba, Canada"
537,0.0,1,male,45.0,B38,"Washington, DC, US","Washington, DC, US"
538,1.0,1,female,30.0,C23 C25 C27,"Minneapolis, Minnesota, US","Minneapolis, Minnesota, US"
539,0.0,3,male,28.0,C23 C25 C27,"Deal, Kent, England","Groesbeck, Texas, US"
540,1.0,1,female,22.0,B39,"Zürich, Switzerland","New York, New York, US"
541,1.0,1,female,36.0,B22,"Milwaukee, Wisconsin, US","Milwaukee, Wisconsin, US"
542,0.0,3,female,9.0,C23 C25 C27,"Kisa, Östergötland, Sweden","Winnipeg, Manitoba, Canada"
543,0.0,3,female,11.0,C23 C25 C27,"Kisa, Östergötland, Sweden","Winnipeg, Manitoba, Canada"
544,1.0,2,male,32.0,C23 C25 C27,New York City,New York City
545,0.0,1,male,50.0,C86,"Minneapolis, Minnesota, US","Minneapolis, Minnesota, US"
546,0.0,1,male,64.0,C23 C25 C27,"Shanklin, Isle of Wight, England, UK","New York, New York, US"
547,1.0,2,female,19.0,C23 C25 C27,"Norwich, Norfolk, England",New York City
548,1.0,2,male,28.0,C23 C25 C27,"Barcelona, Catalonia, Spain","Havana, Cuba"
549,0.0,3,male,33.0,C23 C25 C27,"Strood, Kent, England","Detroit, Michigan, US"
550,1.0,2,male,8.0,C23 C25 C27,"St. Ives, Cornwall, England, UK","Houghton, Michigan, US"
551,1.0,1,male,17.0,C70,"Haverford, Pennsylvania, US","Haverford, Pennsylvania, US"
552,0.0,2,male,27.0,C23 C25 C27,"London, England, UK",New York City
553,0.0,3,male,28.0,C23 C25 C27,"Drimoleague, Cork, Ireland",New York City
554,1.0,3,male,22.0,C23 C25 C27,"Toula, Lebanon","Dayton, Ohio, US"
555,1.0,3,female,22.0,C23 C25 C27,"Mariestad, Västergötland, Sweden","Chicago, Illinois, US"
556,0.0,1,male,62.0,C23 C25 C27,"Halifax, Nova Scotia, Canada","Halifax, Nova Scotia, Canada"
557,1.0,1,female,48.0,A16,"London, England, UK","New York, New York, US"
558,0.0,1,male,28.0,C23 C25 C27,"Madrid, Spain",New York City
559,1.0,1,female,39.0,E67,"New York, New York, US","New York, New York, US"
560,1.0,3,female,36.0,C23 C25 C27,"Tampico, Montana, US","Tampico, Montana, US"
561,0.0,3,male,28.0,C23 C25 C27,"Rathfriland, Down, Ireland","Gleichen, Alberta, Canada"
562,0.0,3,male,40.0,C23 C25 C27,"Bosanska Krupa, Bosnia","Harrisburg, Pennsylvania, US"
563,0.0,2,male,28.0,C23 C25 C27,"Glasgow, Scotland","Houghton, Michigan, US"
564,0.0,3,male,28.0,C23 C25 C27,"Leigh, Kent, England",New York City
565,0.0,3,female,28.0,C23 C25 C27,"Eastbourne, East Sussex, England",New York City
566,0.0,3,male,24.0,C23 C25 C27,"West Bromwich, Staffordshire, England","Pontiac, Michigan, US"
567,0.0,3,male,19.0,C23 C25 C27,"Gumostnik, Lovec, Bulgaria","Chicago, Illinois, US"
568,0.0,3,female,29.0,C23 C25 C27,"Bjuv, Skåne, Sweden","Chicago, Illinois, US"
569,0.0,3,male,28.0,C23 C25 C27,"Beirut, Lebanon","Youngstown, Ohio, US"
570,1.0,3,male,32.0,C23 C25 C27,"Kalfsnäs, Småland, Sweden","Huntley, Illinois, US"
571,1.0,2,male,62.0,C23 C25 C27,"London, England",New York City
572,1.0,1,female,53.0,C101,"New York, New York, US","New York, New York, US"
573,1.0,1,male,36.0,E25,"Brooklyn, New York, US","Brooklyn, New York, US"
574,1.0,3,female,28.0,C23 C25 C27,"Castlepollard, Westmeath, Ireland",New York City
575,0.0,3,male,16.0,C23 C25 C27,"Strood, Kent, England","Detroit, Michigan, US"
576,0.0,3,male,19.0,C23 C25 C27,"Wollaston, Northamptonshire, England","Kitchener, Ontario, Canada"
577,1.0,2,female,34.0,C23 C25 C27,"Liverpool, Merseyside, England","Brooklyn, New York, US"
578,1.0,1,female,39.0,E44,"Duluth, Minnesota, US","Duluth, Minnesota, US"
579,0.0,3,female,28.0,C23 C25 C27,"Kfar Mechi, Syria","Ottawa, Ontario, Canada"
580,1.0,3,male,32.0,C23 C25 C27,"Elimäki, Finland","Monessen, Pennsylvania, US"
581,1.0,2,female,25.0,C23 C25 C27,"London, England, UK","Montreal, Quebec, Canada"
582,1.0,1,female,39.0,C68,"Haverford, Pennsylvania, US","Haverford, Pennsylvania, US"
583,0.0,2,male,54.0,C23 C25 C27,"Rochester, New York, US","Rochester, New York, US"
584,0.0,1,male,36.0,A10,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba, Canada"
585,0.0,3,male,28.0,C23 C25 C27,"Unknown, Unknown",New York City
586,1.0,1,female,18.0,E68,"New York, New York, US","New York, New York, US"
